apyg	apyl	apyg_nr	apyl_nr	apgapl_abbrev	apygapyl_hash
Šeškinės	Paberžės	6	261	Šeškinės(6)-Paberžės(261)	0bd44b7f
Šeškinės	Gelvonų	6	262	Šeškinės(6)-Gelvonų(262)	e636afad
Šeškinės	Tujų	6	351	Šeškinės(6)-Tujų(351)	6825f0f8
Justiniškių	Viršuliškių	7	252	Justiniškių(7)-Viršuliškių(252)	06013b87
Justiniškių	Rygos	7	301	Justiniškių(7)-Rygos(301)	bd143b8b
Justiniškių	Taikos	7	302	Justiniškių(7)-Taikos(302)	ab5c4b32
Justiniškių	Justiniškių	7	303	Justiniškių(7)-Justiniškių(303)	b24f3dfc
Justiniškių	Biržiškos	7	304	Justiniškių(7)-Biržiškos(304)	f7d9bb6c
Justiniškių	Statybininkų	7	305	Justiniškių(7)-Statybininkų(305)	63b03279
Justiniškių	Sietuvos	7	306	Justiniškių(7)-Sietuvos(306)	73c5969d
Justiniškių	Žemynos	7	307	Justiniškių(7)-Žemynos(307)	332bec49
Justiniškių	Medeinos	7	308	Justiniškių(7)-Medeinos(308)	eab7a7a9
Karoliniškių	Papilėnų	8	310	Karoliniškių(8)-Papilėnų(310)	03860621
Karoliniškių	Įsruties	8	311	Karoliniškių(8)-Įsruties(311)	85c5847d
Karoliniškių	Vydūno	8	312	Karoliniškių(8)-Vydūno(312)	2bb4b290
Karoliniškių	Kanto	8	313	Karoliniškių(8)-Kanto(313)	10362777
Karoliniškių	Asanavičiūtės	8	356	Karoliniškių(8)-Asanavičiūtės(356)	e5311f5d
Karoliniškių	Druskio	8	357	Karoliniškių(8)-Druskio(357)	8219e1d6
Karoliniškių	Jankausko	8	358	Karoliniškių(8)-Jankausko(358)	cd87125a
Karoliniškių	Gerbutavičiaus	8	359	Karoliniškių(8)-Gerbutavičiaus(359)	6acc1e58
Karoliniškių	Sietyno	8	360	Karoliniškių(8)-Sietyno(360)	6ffd6b51
Karoliniškių	Kavoliuko	8	361	Karoliniškių(8)-Kavoliuko(361)	482e00be
Karoliniškių	Vaitkaus	8	362	Karoliniškių(8)-Vaitkaus(362)	f1999c32
Karoliniškių	Povilaičio	8	363	Karoliniškių(8)-Povilaičio(363)	d72cf389
Karoliniškių	Laisvės	8	364	Karoliniškių(8)-Laisvės(364)	cd5e7065
Karoliniškių	Pilaitės	8	369	Karoliniškių(8)-Pilaitės(369)	091c95e2
Lazdynų	Sausio	9	352	Lazdynų(9)-Sausio(352)	769ad86d
Lazdynų	Bokšto	9	353	Lazdynų(9)-Bokšto(353)	e927c3a6
Lazdynų	Vingio	9	401	Lazdynų(9)-Vingio(401)	c9a8ac4f
Lazdynų	Geležinio	9	403	Lazdynų(9)-Geležinio(403)	e3bd7735
Lazdynų	Gluosnių	9	405	Lazdynų(9)-Gluosnių(405)	7a5ae1f6
