# Duomenys: vrk.lt 2016 Spalio 12, 07:00
# Atlikta: 2016 Spalio 12, jonasB
# Skaičiavimams naudotos tik partijos su 130+ kandidatų (mažesnėms partijoms reikalingas sudėtingesnis normalizavimas)
# Skaičiavimams naudojami tik pirmumo balsai (daugiamandatės) iš visų apylinkių ir LT diplomatinių atstovybių
# Kandidato gautų pirmumo balsų skaičius normalizuotas pagal partijos gautų balsų skaičių ir partijos kandidatų skaičių
# Kandidato išskirtinis populiarumas apibrėžiamas kaip 2 standartiniai nuokrypiai (SD) nuo gautų balsų medianos palyginamoje kandidatų grupėje (kandidatai su panašiu priešrinkiminiu sąrašo numeriu)
#
# post_rank - kandidato numeris sąraše po rinkimų pirmo turo
# pre_rank - kandidato numeris sąraše prieš rinkimų pirmą turą
# votes - kandidato surinkti pirmumo balsai
# votes_norm - kandidato surinkti pirmumo balsai normalizuoti partijos dydzhiui ir sekmingumui
# votes_thr - slenkstis kuri turi perzhengti konkretus kandidatas, kad butu skelbtinas "netiketai sekmingu"
#
# see the text file with more detailed exlanations:
# "metodika_ypatingam_kandidatu_palaikymui_aptikti.txt"
# @ https://github.com/jonas-bac/POLITICO_LT/tree/master/2016_seimo_rinkimai
partija	abbrv	vardas	vardas_partija	pre_rank	post_rank	votes	votes_norm	votes_thr
SocDemai	LSDP	FAUSTAS LATĖNAS	FAUSTAS LATĖNAS (LSDP)	62	39	2542	539.926296449698	501.576550549456
SocDemai	LSDP	ALGIRDAS BALČYTIS	ALGIRDAS BALČYTIS (LSDP)	81	33	3138	666.517985153089	495.107713184672
SocDemai	LSDP	DAINIUS PAVALKIS	DAINIUS PAVALKIS (LSDP)	77	37	2646	562.016121324115	482.248492005653
SocDemai	LSDP	AURELIJA MAKŪNIENĖ	AURELIJA MAKŪNIENĖ (LSDP)	75	40	2492	529.306188336997	464.76022507258
SocDemai	LSDP	VYDAS BARAVYKAS	VYDAS BARAVYKAS (LSDP)	66	51	2028	430.751585051136	428.455559770664
SocDemai	LSDP	PRANAS PETROŠIUS	PRANAS PETROŠIUS (LSDP)	72	46	2140	454.540627223585	419.904191611518
SocDemai	LSDP	VIDAS MIKALAUSKAS	VIDAS MIKALAUSKAS (LSDP)	70	49	2054	436.27404126974	410.708611608982
SocDemai	LSDP	VIRGINIJUS NOREIKA	VIRGINIJUS NOREIKA (LSDP)	132	52	1995	423.742313696753	405.528005277904
SocDemai	LSDP	VIDMANTAS NORVAIŠAS	VIDMANTAS NORVAIŠAS (LSDP)	119	67	1412	299.911853102665	253.2006613721
SocDemai	LSDP	GINTARĖ JANULAITYTĖ	GINTARĖ JANULAITYTĖ (LSDP)	121	73	1273	270.387952549357	236.397676967778
TvarkaTeisingumas	PTT	KĘSTUTIS PŪKAS	KĘSTUTIS PŪKAS (PTT)	10	3	13386	9515.1819883821	4942.20988770344
TvarkaTeisingumas	PTT	KĘSTUTIS KOMSKIS	KĘSTUTIS KOMSKIS (PTT)	40	25	1383	983.079089342032	917.192329026605
TvarkaTeisingumas	PTT	ALGIRDAS MEIŽENIS	ALGIRDAS MEIŽENIS (PTT)	45	27	1175	835.226268963765	679.76587543047
TvarkaTeisingumas	PTT	VAIDAS BENDARAVIČIUS	VAIDAS BENDARAVIČIUS (PTT)	50	24	1395	991.60905974847	600.786185207681
TvarkaTeisingumas	PTT	TADAS BARTKUS	TADAS BARTKUS (PTT)	81	22	1427	1014.35564749897	495.107713184672
TvarkaTeisingumas	PTT	SIGITAS STONYS	SIGITAS STONYS (PTT)	70	29	933	663.20519910059	410.708611608982
ValstiečiaiŽalieji	LVŽS	SAULIUS SKVERNELIS	SAULIUS SKVERNELIS (LVŽS)	1	1	115770	17064.4533653255	15341.9260061051
ValstiečiaiŽalieji	LVŽS	RAMŪNAS KARBAUSKIS	RAMŪNAS KARBAUSKIS (LVŽS)	2	2	110768	16327.1604938272	13741.4053713509
ValstiečiaiŽalieji	LVŽS	DAINIUS GAIŽAUSKAS	DAINIUS GAIŽAUSKAS (LVŽS)	58	24	3954	582.818075550634	567.226387066908
ValstiečiaiŽalieji	LVŽS	ALFREDAS STASYS NAUSĖDA	ALFREDAS STASYS NAUSĖDA (LVŽS)	65	30	3392	499.979492227554	447.274046988311
ValstiečiaiŽalieji	LVŽS	RŪTA MILIŪTĖ	RŪTA MILIŪTĖ (LVŽS)	114	28	3576	527.101021287068	294.67557859792
